quote_id,request_id,provider_id,quote_time,quote_price,response_minutes
Q00056,R00077,P020,2026-03-27 16:13:00,76000.0,63
Q00057,R00079,P046,2026-01-29 09:13:00,41000.0,3
Q00058,R00080,P036,2026-03-12 09:58:00,57000.0,48
Q00059,R00082,P051,2026-04-10 17:42:00,53000.0,152
Q00060,R00083,P006,2026-02-10 20:45:00,34000.0,35
Q00061,R00084,P056,2026-04-27 14:47:00,65000.0,97
Q00062,R00085,P079,2026-05-02 16:54:00,87000.0,104
Q00063,R00086,P006,2026-05-29 15:33:00,35000.0,83
Q00064,R00087,P037,2026-01-20 08:13:00,33000.0,3
Q00065,R00088,P032,2026-01-25 18:18:00,42000.0,68
Q00066,R00089,P052,2026-01-06 15:30:00,184000.0,80
Q00067,R00090,P054,2026-01-31 10:37:00,94000.0,87
Q00068,R00091,P009,2026-02-18 13:45:00,51000.0,95
Q00069,R00092,P043,2026-05-08 13:42:00,57000.0,32
Q00070,R00093,P077,2026-02-21 16:15:00,109000.0,5
Q00071,R00094,P066,2026-04-08 11:02:00,52000.0,112
Q00072,R00095,P079,2026-03-21 12:50:00,24000.0,40
Q00073,R00096,P053,2026-03-31 12:13:00,41000.0,3
Q00074,R00097,P067,2026-03-24 18:23:00,62000.0,73
Q00075,R00099,P026,2026-01-22 22:58:00,36000.0,228
Q00076,R00100,P015,2026-02-26 18:50:00,51000.0,100
Q00077,R00101,P047,2026-02-16 15:05:00,55000.0,55
Q00078,R00102,P061,2026-04-07 18:13:00,43000.0,3
Q00079,R00104,P067,2026-03-31 15:02:00,43000.0,52
Q00080,R00106,P075,2026-03-26 10:36:00,94000.0,26
Q00081,R00107,P039,2026-03-23 17:50:00,82000.0,40
Q00082,R00108,P011,2026-03-25 20:37:00,44000.0,87
Q00083,R00110,P052,2026-03-27 09:55:00,37000.0,45
Q00084,R00112,P011,2026-04-30 21:16:00,65000.0,126
Q00085,R00113,P014,2026-04-06 14:49:00,77000.0,99
Q00086,R00116,P053,2026-01-21 10:34:00,55000.0,84
Q00087,R00118,P011,2026-03-11 18:13:00,88000.0,3
Q00088,R00119,P020,2026-05-08 18:52:00,74000.0,102
Q00089,R00120,P021,2026-03-05 12:40:00,83000.0,150
Q00090,R00121,P029,2026-02-23 08:13:00,116000.0,3
Q00091,R00122,P061,2026-01-31 21:01:00,107000.0,51
Q00092,R00124,P014,2026-06-07 15:30:00,141000.0,80
Q00093,R00125,P006,2026-04-27 15:19:00,110000.0,129
Q00094,R00126,P005,2026-03-19 09:35:00,17000.0,85
Q00095,R00127,P068,2026-03-29 13:53:00,66000.0,103
Q00096,R00129,P004,2026-03-06 19:56:00,33000.0,46
Q00097,R00130,P044,2026-02-22 13:13:00,38000.0,3
Q00098,R00132,P013,2026-04-28 11:24:00,29000.0,74
Q00099,R00133,P023,2026-03-27 17:29:00,145000.0,19
Q00100,R00134,P048,2026-03-05 09:53:00,16000.0,43
Q00101,R00135,P074,2026-05-06 13:02:00,78000.0,112
Q00102,R00137,P028,2026-02-23 22:30:00,61000.0,200
Q00103,R00138,P028,2026-05-24 00:00:00,94000.0,110
Q00104,R00139,P053,2026-02-21 12:53:00,49000.0,43
Q00105,R00140,P037,2026-02-26 11:43:00,59000.0,153
Q00106,R00141,P051,2026-03-07 14:00:00,82000.0,50
Q00107,R00142,P024,2026-04-16 13:13:00,23000.0,3
Q00108,R00144,P069,2026-03-10 18:52:00,37000.0,42
Q00109,R00145,P030,2026-03-07 01:09:00,53000.0,179
Q00110,R00147,P010,2026-04-26 15:09:00,49000.0,179
Q00111,R00148,P051,2026-04-19 13:03:00,36000.0,53
Q00112,R00150,P065,2026-04-12 22:22:00,62000.0,12
Q00113,R00152,P040,2026-03-08 17:27:00,59000.0,77
Q00114,R00153,P078,2026-04-07 15:28:00,142000.0,78
Q00115,R00155,P011,2026-04-25 01:09:00,66000.0,179
Q00116,R00157,P037,2026-02-14 18:07:00,64000.0,57
Q00117,R00160,P019,2026-02-17 16:15:00,29000.0,65
Q00118,R00161,P010,2026-05-03 14:13:00,76000.0,3
Q00119,R00162,P030,2026-03-07 17:13:00,36000.0,3
Q00120,R00163,P068,2026-03-31 00:48:00,208000.0,158
Q00121,R00164,P050,2026-04-17 21:26:00,54000.0,16
Q00122,R00165,P067,2026-03-29 09:53:00,24000.0,103
Q00123,R00166,P052,2026-04-14 18:05:00,46000.0,115
Q00124,R00167,P068,2026-03-17 19:29:00,151000.0,79
Q00125,R00168,P036,2026-01-16 10:13:00,28000.0,3
Q00126,R00169,P006,2026-02-03 14:34:00,39000.0,144
Q00127,R00170,P073,2026-04-22 12:13:00,28000.0,3
Q00128,R00171,P045,2026-04-22 12:22:00,42000.0,12
Q00129,R00172,P070,2026-02-09 12:13:00,41000.0,3
Q00130,R00173,P075,2026-02-11 11:40:00,23000.0,90
Q00131,R00174,P050,2026-04-17 23:17:00,133000.0,127
Q00132,R00176,P057,2026-05-06 20:26:00,107000.0,16
Q00133,R00177,P023,2026-03-23 12:13:00,63000.0,123
Q00134,R00179,P001,2026-01-18 16:54:00,33000.0,164
Q00135,R00180,P024,2026-05-08 19:37:00,75000.0,27
Q00136,R00181,P041,2026-05-16 23:29:00,24000.0,79
Q00137,R00183,P006,2026-04-07 16:31:00,34000.0,141
Q00138,R00184,P049,2026-04-08 13:09:00,77000.0,59
Q00139,R00185,P028,2026-02-25 11:32:00,52000.0,22
Q00140,R00186,P029,2026-03-25 23:28:00,83000.0,78
Q00141,R00187,P027,2026-04-15 14:01:00,50000.0,171
Q00142,R00188,P039,2026-03-12 14:41:00,65000.0,91
Q00143,R00189,P053,2026-04-12 11:09:00,101000.0,179
Q00144,R00190,P032,2026-01-26 12:30:00,90000.0,80
Q00145,R00191,P073,2026-01-28 20:52:00,47000.0,162
Q00146,R00194,P030,2026-05-11 18:38:00,92000.0,208
Q00147,R00195,P069,2026-04-29 16:47:00,60000.0,97
Q00148,R00196,P049,2026-03-09 11:17:00,167000.0,67
Q00149,R00197,P027,2026-04-12 09:55:00,47000.0,105
Q00150,R00200,P040,2026-03-22 16:22:00,72000.0,12
Q00151,R00201,P040,2026-05-27 22:20:00,33000.0,10
Q00152,R00202,P077,2026-03-09 21:50:00,145000.0,160
Q00153,R00204,P027,2026-01-31 14:20:00,74000.0,10
Q00154,R00205,P014,2026-04-17 11:43:00,68000.0,33
Q00155,R00206,P043,2026-02-20 18:22:00,136000.0,72
Q00156,R00207,P024,2026-05-06 20:08:00,90000.0,118
Q00157,R00208,P056,2026-02-22 16:42:00,80000.0,152
Q00158,R00209,P079,2026-01-23 09:50:00,47000.0,40
Q00159,R00210,P053,2026-05-14 13:37:00,21000.0,267
Q00160,R00211,P051,2026-02-02 20:33:00,83000.0,143
Q00161,R00213,P021,2026-02-19 10:44:00,62000.0,154
Q00162,R00214,P060,2026-02-26 11:30:00,130000.0,140
Q00163,R00215,P019,2026-06-05 23:21:00,80000.0,71
Q00164,R00216,P045,2026-03-20 19:35:00,52000.0,145
Q00165,R00217,P018,2026-05-03 08:31:00,26000.0,21
Q00166,R00218,P028,2026-03-01 16:13:00,64000.0,3
Q00167,R00219,P035,2026-02-15 08:55:00,69000.0,45
Q00168,R00220,P022,2026-01-20 14:53:00,53000.0,163
Q00169,R00221,P053,2026-05-05 14:27:00,15000.0,137
Q00170,R00222,P004,2026-05-01 10:38:00,32000.0,88
Q00171,R00223,P042,2026-03-06 09:13:00,92000.0,3
Q00172,R00224,P056,2026-04-19 14:12:00,175000.0,182
Q00173,R00225,P065,2026-02-01 14:44:00,56000.0,34
Q00174,R00226,P005,2026-04-09 10:06:00,58000.0,116
Q00175,R00227,P047,2026-04-28 19:10:00,47000.0,60
Q00176,R00228,P056,2026-03-02 23:31:00,32000.0,81
Q00177,R00229,P018,2026-02-12 19:38:00,63000.0,28
Q00178,R00230,P039,2026-05-22 21:56:00,97000.0,46
Q00179,R00231,P069,2026-05-11 11:24:00,78000.0,74
Q00180,R00232,P003,2026-05-02 17:05:00,34000.0,115
Q00181,R00234,P009,2026-02-17 09:17:00,91000.0,67
Q00182,R00235,P035,2026-05-04 10:48:00,109000.0,98
Q00183,R00236,P062,2026-02-09 08:13:00,120000.0,3
Q00184,R00237,P032,2026-02-20 08:53:00,62000.0,43
Q00185,R00238,P027,2026-04-19 12:42:00,84000.0,212
Q00186,R00239,P072,2026-02-27 15:46:00,39000.0,156
Q00187,R00240,P019,2026-03-17 11:26:00,88000.0,196
Q00188,R00241,P049,2026-05-01 02:05:00,71000.0,235
Q00189,R00242,P046,2026-05-04 10:13:00,67000.0,3
Q00190,R00243,P079,2026-05-20 13:13:00,31000.0,3
