user_id,signup_date,region,acquisition_channel,user_type
U0059,2026-03-08,서울,paid_search,customer
U0060,2026-03-03,서울,direct,provider_candidate
U0061,2026-03-25,경기,organic,customer
U0062,2026-03-09,서울,organic,provider_candidate
U0063,2026-02-02,서울,direct,customer
U0064,2026-03-29,서울,paid_search,customer
U0065,2026-02-06,서울,organic,customer
U0066,2026-01-30,서울,direct,customer
U0067,2026-03-23,서울,direct,customer
U0068,2026-02-03,경기,paid_search,customer
U0069,2026-01-07,서울,social,customer
U0070,2026-02-12,대구,organic,customer
U0071,2026-03-13,부산,organic,customer
U0072,2026-01-18,경기,paid_search,customer
U0073,2026-02-11,서울,organic,customer
U0074,2026-01-12,경기,social,customer
U0075,2026-03-03,부산,referral,customer
U0076,2026-02-12,경기,organic,customer
U0077,2026-01-30,인천,paid_search,customer
U0078,2026-01-21,경기,organic,customer
U0079,2026-02-20,경기,direct,customer
U0080,2026-03-02,서울,organic,customer
U0081,2026-03-26,경기,social,customer
U0082,2026-02-09,서울,paid_search,customer
U0083,2026-01-15,경기,paid_search,customer
U0084,2026-03-16,부산,social,provider_candidate
U0085,2026-02-26,서울,social,provider_candidate
U0086,2026-03-05,경기,paid_search,customer
U0087,2026-01-09,서울,referral,customer
U0088,2026-01-29,경기,direct,customer
U0089,2026-03-11,서울,paid_search,customer
U0090,2026-03-16,대구,paid_search,customer
U0091,2026-02-09,서울,organic,customer
U0092,2026-03-14,대구,referral,customer
U0093,2026-03-17,인천,paid_search,customer
U0094,2026-02-04,경기,paid_search,customer
U0095,2026-03-22,인천,organic,provider_candidate
U0096,2026-01-26,인천,direct,customer
U0097,2026-01-22,대구,paid_search,customer
U0098,2026-03-03,서울,social,customer
U0099,2026-02-27,경기,organic,customer
U0100,2026-01-13,서울,direct,customer
U0101,2026-03-16,경기,organic,customer
U0102,2026-01-18,서울,organic,customer
U0103,2026-03-14,경기,direct,customer
U0104,2026-01-01,경기,direct,customer
U0105,2026-03-13,경기,organic,customer
U0106,2026-03-12,경기,paid_search,customer
U0107,2026-03-12,인천,social,customer
U0108,2026-03-01,인천,direct,customer
U0109,2026-02-12,경기,paid_search,customer
U0110,2026-03-05,경기,paid_search,customer
U0111,2026-01-25,대구,social,customer
U0112,2026-03-12,서울,social,customer
U0113,2026-02-20,서울,referral,customer
U0114,2026-02-11,서울,paid_search,customer
U0115,2026-02-15,경기,organic,customer
U0116,2026-02-21,서울,direct,customer
U0117,2026-01-04,인천,direct,customer
U0118,2026-01-13,경기,referral,customer
U0119,2026-01-23,서울,organic,customer
U0120,2026-01-11,부산,organic,customer
U0121,2026-02-09,인천,social,customer
U0122,2026-03-02,서울,organic,provider_candidate
U0123,2026-02-28,서울,direct,customer
U0124,2026-02-12,서울,paid_search,customer
U0125,2026-03-18,서울,social,provider_candidate
U0126,2026-02-20,서울,direct,customer
U0127,2026-01-08,대구,paid_search,customer
U0128,2026-03-10,경기,organic,customer
U0129,2026-02-21,서울,social,customer
U0130,2026-02-27,경기,paid_search,customer
U0131,2026-02-20,경기,paid_search,customer
U0132,2026-02-19,대구,social,customer
U0133,2026-01-09,인천,direct,customer
U0134,2026-02-20,경기,paid_search,provider_candidate
U0135,2026-03-13,서울,organic,provider_candidate
U0136,2026-01-28,대구,paid_search,customer
U0137,2026-02-24,경기,paid_search,customer
U0138,2026-01-03,대구,organic,customer
U0139,2026-02-01,서울,organic,provider_candidate
U0140,2026-02-09,부산,social,customer
U0141,2026-03-30,경기,organic,provider_candidate
U0142,2026-01-20,서울,direct,customer
U0143,2026-01-25,경기,organic,customer
U0144,2026-02-06,경기,organic,customer
U0145,2026-03-31,서울,referral,customer
U0146,2026-03-18,경기,direct,customer
U0147,2026-01-04,인천,organic,customer
U0148,2026-01-22,서울,organic,provider_candidate
U0149,2026-03-15,경기,organic,customer
U0150,2026-01-06,경기,paid_search,customer
U0151,2026-03-19,서울,paid_search,customer
U0152,2026-01-26,부산,organic,customer
U0153,2026-03-24,인천,organic,provider_candidate
U0154,2026-01-27,서울,paid_search,customer
U0155,2026-02-09,대구,direct,customer
U0156,2026-03-01,부산,social,customer
U0157,2026-01-12,서울,paid_search,provider_candidate
U0158,2026-02-20,인천,organic,customer
U0159,2026-02-15,서울,organic,customer
U0160,2026-03-12,대구,organic,customer
U0161,2026-03-31,경기,referral,customer
U0162,2026-03-01,경기,direct,provider_candidate
U0163,2026-02-06,서울,direct,customer
U0164,2026-02-06,부산,direct,provider_candidate
U0165,2026-02-07,서울,direct,customer
U0166,2026-03-15,서울,direct,customer
U0167,2026-01-29,서울,organic,customer
U0168,2026-01-16,인천,organic,customer
U0169,2026-01-31,서울,organic,provider_candidate
U0170,2026-01-03,부산,paid_search,provider_candidate
U0171,2026-01-10,경기,organic,customer
U0172,2026-01-09,서울,referral,customer
U0173,2026-03-11,서울,social,customer
U0174,2026-03-07,서울,paid_search,customer
U0175,2026-03-04,경기,organic,customer
U0176,2026-02-11,인천,organic,customer
U0177,2026-03-06,서울,organic,customer
U0178,2026-01-15,부산,direct,customer
U0179,2026-03-23,서울,paid_search,customer
U0180,2026-02-15,인천,social,customer
U0181,2026-03-26,대구,organic,provider_candidate
U0182,2026-01-14,인천,paid_search,customer
U0183,2026-02-14,경기,paid_search,customer
U0184,2026-03-04,인천,referral,customer
U0185,2026-02-14,서울,referral,customer
U0186,2026-02-10,서울,organic,provider_candidate
U0187,2026-01-15,서울,direct,customer
U0188,2026-02-04,경기,organic,customer
U0189,2026-01-22,경기,direct,provider_candidate
U0190,2026-01-28,경기,organic,provider_candidate
U0191,2026-03-03,부산,organic,customer
U0192,2026-02-26,서울,referral,customer
U0193,2026-02-24,경기,organic,customer
U0194,2026-02-02,서울,paid_search,customer
U0195,2026-03-28,서울,paid_search,customer
U0196,2026-01-08,경기,organic,customer
U0197,2026-01-31,대구,social,provider_candidate
U0198,2026-01-11,경기,direct,customer
U0199,2026-01-31,서울,direct,customer
U0200,2026-03-28,경기,organic,customer
U0201,2026-02-02,서울,paid_search,customer
U0202,2026-03-23,부산,organic,customer
U0203,2026-02-14,경기,organic,customer
U0204,2026-03-04,서울,organic,provider_candidate
U0205,2026-02-11,서울,direct,customer
U0206,2026-01-24,서울,direct,customer
U0207,2026-03-10,대구,referral,customer
U0208,2026-03-29,경기,paid_search,customer
U0209,2026-01-24,인천,paid_search,provider_candidate
U0210,2026-03-12,경기,paid_search,customer
U0211,2026-01-24,경기,paid_search,customer
U0212,2026-03-06,서울,paid_search,customer
U0213,2026-03-13,대구,organic,customer
U0214,2026-02-10,서울,organic,customer
U0215,2026-03-08,경기,direct,customer
U0216,2026-01-25,경기,paid_search,customer
U0217,2026-01-08,경기,direct,customer
U0218,2026-01-09,대구,organic,customer
U0219,2026-02-10,서울,paid_search,customer
U0220,2026-03-23,경기,organic,customer
U0221,2026-01-12,서울,organic,provider_candidate
U0222,2026-02-11,경기,organic,customer
U0223,2026-03-05,서울,organic,customer
U0224,2026-01-19,서울,direct,customer
U0225,2026-03-06,서울,organic,customer
U0226,2026-01-28,서울,social,customer
U0227,2026-03-14,경기,paid_search,customer
U0228,2026-02-22,경기,paid_search,provider_candidate
U0229,2026-02-19,경기,paid_search,customer
U0230,2026-01-16,서울,organic,customer
U0231,2026-02-11,서울,direct,customer
U0232,2026-03-19,서울,referral,customer
U0233,2026-01-02,경기,social,customer
U0234,2026-03-10,서울,paid_search,customer
U0235,2026-02-14,서울,organic,customer
U0236,2026-03-06,서울,direct,customer
U0237,2026-03-01,경기,organic,provider_candidate
U0238,2026-02-08,서울,organic,customer
U0239,2026-01-28,경기,organic,provider_candidate
U0240,2026-02-26,경기,referral,customer
U0241,2026-01-13,경기,social,customer
U0242,2026-02-22,경기,referral,customer
U0243,2026-01-09,경기,referral,customer
U0244,2026-02-28,서울,organic,customer
U0245,2026-02-26,인천,direct,customer
U0246,2026-01-08,경기,paid_search,customer
U0247,2026-03-10,경기,social,customer
U0248,2026-02-07,경기,organic,customer
U0249,2026-03-12,서울,direct,customer
U0250,2026-01-04,경기,organic,customer
U0251,2026-01-17,경기,organic,customer
U0252,2026-02-14,부산,paid_search,provider_candidate
U0253,2026-01-17,대구,organic,customer
U0254,2026-01-30,경기,organic,customer
U0255,2026-03-01,경기,social,customer
U0256,2026-01-14,인천,paid_search,customer
U0257,2026-03-02,서울,direct,customer
U0258,2026-01-10,인천,organic,customer
U0259,2026-01-16,경기,social,customer
U0260,2026-02-22,서울,paid_search,customer
U0261,2026-03-13,서울,social,customer
U0262,2026-01-16,부산,paid_search,customer
U0263,2026-01-27,서울,paid_search,customer
U0264,2026-03-25,서울,direct,customer
U0265,2026-03-31,서울,organic,provider_candidate
U0266,2026-02-22,서울,organic,customer
U0267,2026-02-10,서울,social,customer
U0268,2026-02-01,경기,referral,provider_candidate
U0269,2026-02-25,서울,organic,customer
U0270,2026-02-23,인천,paid_search,customer
U0271,2026-01-27,부산,direct,customer
U0272,2026-01-03,서울,social,customer
U0273,2026-01-14,서울,direct,provider_candidate
U0274,2026-03-28,경기,paid_search,customer
U0275,2026-02-07,서울,social,customer
U0276,2026-02-13,서울,organic,customer
U0277,2026-02-12,대구,direct,customer
U0278,2026-03-12,대구,paid_search,customer
U0279,2026-01-06,인천,social,customer
U0280,2026-01-08,서울,paid_search,customer
U0281,2026-01-25,경기,paid_search,customer
U0282,2026-02-13,경기,social,customer
U0283,2026-03-02,서울,paid_search,customer
U0284,2026-02-14,경기,direct,customer
U0285,2026-02-09,서울,paid_search,customer
U0286,2026-03-26,서울,social,customer
U0287,2026-01-15,경기,organic,customer
U0288,2026-02-21,서울,paid_search,customer
U0289,2026-02-18,서울,paid_search,customer
U0290,2026-02-12,인천,organic,customer
U0291,2026-03-14,대구,organic,customer
U0292,2026-01-25,경기,social,customer
U0293,2026-03-27,인천,social,customer
U0294,2026-01-30,대구,social,customer
U0295,2026-02-19,서울,organic,customer
U0296,2026-02-16,경기,organic,customer
U0297,2026-03-18,서울,organic,customer
U0298,2026-02-09,서울,referral,customer
U0299,2026-01-26,경기,direct,customer
U0300,2026-01-02,경기,organic,customer
U0301,2026-02-02,경기,social,customer
U0302,2026-03-16,서울,organic,customer
U0303,2026-01-01,서울,organic,customer
U0304,2026-03-22,부산,organic,customer
U0305,2026-02-18,서울,organic,customer
U0306,2026-01-13,서울,social,customer
U0307,2026-01-28,서울,direct,provider_candidate
U0308,2026-02-19,경기,organic,customer
U0309,2026-01-29,경기,paid_search,customer
U0310,2026-01-10,경기,social,customer
U0311,2026-03-01,서울,direct,provider_candidate
U0312,2026-03-02,서울,social,customer
U0313,2026-01-11,부산,organic,provider_candidate
U0314,2026-01-26,경기,social,provider_candidate
U0315,2026-01-22,경기,organic,customer
U0316,2026-03-01,경기,direct,customer
U0317,2026-03-07,인천,paid_search,customer
U0318,2026-03-07,서울,social,customer
U0319,2026-03-26,서울,organic,customer
U0320,2026-03-11,경기,paid_search,customer
U0321,2026-01-29,서울,direct,customer
U0322,2026-01-10,부산,social,customer
U0323,2026-02-25,경기,paid_search,customer
U0324,2026-03-24,인천,direct,customer
U0325,2026-03-29,부산,direct,customer
U0326,2026-01-21,경기,organic,customer
U0327,2026-01-22,부산,paid_search,customer
U0328,2026-01-04,경기,paid_search,customer
U0329,2026-01-13,부산,social,provider_candidate
U0330,2026-02-19,서울,organic,customer
U0331,2026-02-19,경기,organic,provider_candidate
U0332,2026-02-03,경기,direct,customer
U0333,2026-01-28,서울,direct,customer
U0334,2026-03-16,서울,referral,customer
U0335,2026-02-11,부산,direct,customer
U0336,2026-03-14,경기,social,provider_candidate
U0337,2026-03-28,서울,referral,customer
U0338,2026-01-29,서울,referral,customer
U0339,2026-01-19,서울,paid_search,customer
U0340,2026-03-27,서울,paid_search,customer
U0341,2026-02-27,대구,organic,customer
U0342,2026-01-27,경기,social,customer
U0343,2026-02-25,서울,organic,provider_candidate
U0344,2026-02-16,경기,organic,customer
U0345,2026-03-23,서울,paid_search,customer
U0346,2026-01-24,서울,paid_search,customer
U0347,2026-03-31,경기,organic,customer
U0348,2026-03-26,경기,referral,customer
U0349,2026-01-17,대구,direct,customer
U0350,2026-01-15,경기,organic,customer
U0351,2026-02-17,경기,organic,provider_candidate
U0352,2026-01-05,인천,organic,customer
U0353,2026-01-27,부산,referral,customer
U0354,2026-02-09,경기,referral,customer
U0355,2026-03-29,대구,organic,customer
U0356,2026-03-31,인천,referral,customer
U0357,2026-01-14,부산,organic,provider_candidate
U0358,2026-03-22,서울,paid_search,customer
U0359,2026-01-09,경기,direct,customer
U0360,2026-03-09,경기,organic,customer
U0361,2026-03-18,경기,organic,customer
U0362,2026-03-22,경기,paid_search,customer
U0363,2026-01-21,대구,social,customer
U0364,2026-03-22,대구,direct,customer
U0365,2026-01-11,서울,direct,customer
U0366,2026-02-16,경기,organic,customer
U0367,2026-02-12,경기,organic,customer
U0368,2026-01-29,서울,referral,customer
U0369,2026-01-02,서울,organic,provider_candidate
U0370,2026-03-11,서울,direct,customer
U0371,2026-01-31,인천,social,customer
U0372,2026-03-01,경기,organic,customer
U0373,2026-02-06,대구,referral,customer
U0374,2026-02-03,경기,organic,customer
U0375,2026-03-21,대구,paid_search,customer
U0376,2026-01-09,서울,paid_search,customer
U0377,2026-03-08,인천,paid_search,customer
U0378,2026-03-09,서울,social,customer
U0379,2026-02-04,경기,social,customer
U0380,2026-01-24,인천,direct,customer
U0381,2026-01-01,대구,direct,customer
U0382,2026-03-26,인천,paid_search,customer
U0383,2026-03-27,서울,organic,customer
U0384,2026-01-22,서울,social,customer
U0385,2026-01-03,서울,direct,provider_candidate
U0386,2026-01-12,서울,organic,customer
U0387,2026-01-07,경기,paid_search,customer
U0388,2026-03-16,경기,paid_search,provider_candidate
U0389,2026-03-22,인천,organic,customer
U0390,2026-01-14,부산,social,customer
U0391,2026-03-09,경기,paid_search,customer
U0392,2026-01-17,인천,referral,customer
U0393,2026-02-03,서울,referral,customer
U0394,2026-02-23,서울,referral,customer
U0395,2026-03-06,경기,paid_search,customer
U0396,2026-03-20,부산,organic,customer
U0397,2026-01-05,서울,social,customer
U0398,2026-01-18,경기,referral,customer
U0399,2026-01-26,경기,paid_search,provider_candidate
U0400,2026-01-28,서울,direct,customer
U0401,2026-03-31,서울,organic,customer
U0402,2026-03-11,부산,direct,customer
U0403,2026-01-29,경기,organic,customer
U0404,2026-03-29,서울,organic,customer
U0405,2026-02-14,부산,paid_search,provider_candidate
U0406,2026-02-15,서울,organic,customer
U0407,2026-02-09,부산,organic,customer
U0408,2026-01-13,서울,organic,customer
U0409,2026-03-26,경기,paid_search,customer
U0410,2026-01-02,서울,referral,customer
U0411,2026-01-16,서울,organic,customer
U0412,2026-01-21,부산,social,customer
U0413,2026-01-26,서울,referral,customer
U0414,2026-01-12,서울,organic,customer
U0415,2026-01-02,서울,organic,provider_candidate
U0416,2026-03-02,경기,direct,customer
U0417,2026-03-29,인천,referral,customer
U0418,2026-01-11,대구,paid_search,customer
U0419,2026-01-27,서울,referral,customer
U0420,2026-02-15,서울,organic,customer
U0421,2026-03-25,서울,paid_search,customer
U0422,2026-03-04,경기,social,customer
U0423,2026-03-10,대구,organic,customer
U0424,2026-02-22,경기,referral,customer
U0425,2026-02-07,경기,paid_search,customer
U0426,2026-01-18,서울,referral,provider_candidate
U0427,2026-03-19,부산,paid_search,customer
U0428,2026-03-14,경기,paid_search,customer
U0429,2026-01-03,서울,organic,customer
U0430,2026-03-06,서울,organic,customer
U0431,2026-01-08,서울,referral,customer
U0432,2026-03-08,서울,organic,customer
U0433,2026-03-16,서울,organic,customer
U0434,2026-01-12,경기,organic,customer
U0435,2026-02-09,경기,organic,customer
U0436,2026-01-12,서울,referral,customer
U0437,2026-02-21,경기,paid_search,customer
U0438,2026-03-25,대구,direct,customer
U0439,2026-01-08,경기,organic,customer
U0440,2026-02-05,경기,social,customer
U0441,2026-03-29,서울,paid_search,customer
U0442,2026-01-28,부산,paid_search,provider_candidate
U0443,2026-01-12,서울,direct,customer
U0444,2026-02-13,서울,direct,customer
U0445,2026-02-15,부산,direct,customer
U0446,2026-03-01,경기,organic,customer
U0447,2026-01-29,경기,organic,customer
U0448,2026-03-28,경기,social,customer
U0449,2026-02-16,경기,organic,provider_candidate
U0450,2026-01-26,서울,social,customer
U0451,2026-03-28,서울,paid_search,provider_candidate
U0452,2026-03-25,서울,paid_search,provider_candidate
U0453,2026-02-14,서울,referral,customer
U0454,2026-01-03,부산,social,customer
U0455,2026-02-23,서울,organic,customer
U0456,2026-02-19,경기,organic,provider_candidate
U0457,2026-01-14,인천,social,customer
U0458,2026-02-27,인천,paid_search,customer
U0459,2026-03-17,경기,organic,customer
U0460,2026-01-10,경기,paid_search,customer
U0461,2026-03-07,대구,referral,customer
U0462,2026-01-13,경기,referral,customer
U0463,2026-03-09,인천,paid_search,provider_candidate
U0464,2026-02-07,부산,paid_search,provider_candidate
U0465,2026-01-01,인천,organic,customer
U0466,2026-03-28,서울,paid_search,customer
U0467,2026-01-15,경기,organic,customer
U0468,2026-02-23,서울,paid_search,customer
U0469,2026-01-17,경기,social,customer
U0470,2026-03-25,대구,organic,customer
U0471,2026-03-08,경기,organic,customer
U0472,2026-03-14,경기,organic,customer
U0473,2026-02-08,서울,direct,customer
U0474,2026-02-12,대구,social,customer
U0475,2026-02-27,서울,organic,customer
U0476,2026-03-12,서울,direct,customer
U0477,2026-03-18,서울,paid_search,customer
U0478,2026-01-02,서울,paid_search,customer
U0479,2026-03-01,경기,direct,customer
U0480,2026-01-10,경기,organic,customer
U0481,2026-01-26,서울,organic,provider_candidate
U0482,2026-03-16,서울,paid_search,customer
U0483,2026-01-23,서울,organic,customer
U0484,2026-03-13,서울,social,customer
U0485,2026-02-11,서울,organic,customer
U0486,2026-01-21,경기,organic,customer
U0487,2026-01-31,서울,organic,provider_candidate
U0488,2026-02-17,서울,paid_search,customer
U0489,2026-03-10,서울,organic,customer
U0490,2026-02-24,서울,organic,customer
U0491,2026-03-25,서울,direct,customer
U0492,2026-03-20,서울,organic,customer
U0493,2026-03-09,부산,paid_search,customer
U0494,2026-02-24,서울,organic,provider_candidate
U0495,2026-01-27,경기,paid_search,customer
U0496,2026-02-07,경기,organic,customer
U0497,2026-01-11,서울,social,customer
U0498,2026-02-03,경기,organic,customer
U0499,2026-03-25,인천,direct,customer
U0500,2026-02-08,부산,direct,customer
