request_id,user_id,provider_id,service_category,request_time,region,request_status
R00066,U0116,P034,인테리어,2026-05-02 22:10:00,서울,submitted
R00067,U0120,P014,사진촬영,2026-02-28 14:10:00,부산,submitted
R00068,U0123,P043,청소,2026-04-19 13:10:00,서울,submitted
R00069,U0123,P005,인테리어,2026-03-30 18:10:00,서울,submitted
R00070,U0126,P050,청소,2026-04-28 09:10:00,서울,submitted
R00071,U0126,P021,사진촬영,2026-02-25 10:10:00,서울,submitted
R00072,U0130,P080,사진촬영,2026-03-11 21:10:00,경기,submitted
R00073,U0131,P048,과외,2026-04-29 19:10:00,경기,submitted
R00074,U0134,P039,과외,2026-04-08 09:10:00,경기,submitted
R00075,U0134,P059,이사,2026-03-03 18:10:00,경기,submitted
R00076,U0135,P074,인테리어,2026-05-24 16:10:00,서울,submitted
R00077,U0135,P020,인테리어,2026-03-27 15:10:00,서울,submitted
R00078,U0135,P047,운동,2026-03-21 13:10:00,서울,submitted
R00079,U0136,P046,사진촬영,2026-01-29 09:10:00,대구,submitted
R00080,U0138,P036,운동,2026-03-12 09:10:00,대구,submitted
R00081,U0142,P033,이사,2026-02-28 08:10:00,서울,submitted
R00082,U0143,P051,청소,2026-04-10 15:10:00,경기,submitted
R00083,U0144,P006,과외,2026-02-10 20:10:00,경기,submitted
R00084,U0145,P056,사진촬영,2026-04-27 13:10:00,서울,submitted
R00085,U0145,P079,사진촬영,2026-05-02 15:10:00,서울,submitted
R00086,U0146,P006,인테리어,2026-05-29 14:10:00,경기,submitted
R00087,U0147,P037,이사,2026-01-20 08:10:00,인천,submitted
R00088,U0148,P032,이사,2026-01-25 17:10:00,서울,submitted
R00089,U0150,P052,과외,2026-01-06 14:10:00,경기,submitted
R00090,U0157,P054,과외,2026-01-31 09:10:00,서울,submitted
R00091,U0157,P009,사진촬영,2026-02-18 12:10:00,서울,submitted
R00092,U0161,P043,사진촬영,2026-05-08 13:10:00,경기,submitted
R00093,U0163,P077,사진촬영,2026-02-21 16:10:00,서울,submitted
R00094,U0163,P066,인테리어,2026-04-08 09:10:00,서울,submitted
R00095,U0163,P079,인테리어,2026-03-21 12:10:00,서울,submitted
R00096,U0167,P053,청소,2026-03-31 12:10:00,서울,submitted
R00097,U0168,P067,운동,2026-03-24 17:10:00,인천,submitted
R00098,U0170,P080,인테리어,2026-01-30 11:10:00,부산,submitted
R00099,U0170,P026,사진촬영,2026-01-22 19:10:00,부산,submitted
R00100,U0171,P015,운동,2026-02-26 17:10:00,경기,submitted
R00101,U0172,P047,운동,2026-02-16 14:10:00,서울,submitted
R00102,U0174,P061,사진촬영,2026-04-07 18:10:00,서울,submitted
R00103,U0176,P028,청소,2026-04-13 14:10:00,인천,submitted
R00104,U0180,P067,과외,2026-03-31 14:10:00,인천,submitted
R00105,U0182,P039,사진촬영,2026-03-20 12:10:00,인천,submitted
R00106,U0182,P075,사진촬영,2026-03-26 10:10:00,인천,submitted
R00107,U0185,P039,이사,2026-03-23 17:10:00,서울,submitted
R00108,U0188,P011,운동,2026-03-25 19:10:00,경기,submitted
R00109,U0191,P006,사진촬영,2026-05-19 17:10:00,부산,submitted
R00110,U0191,P052,청소,2026-03-27 09:10:00,부산,submitted
R00111,U0191,P005,운동,2026-04-17 17:10:00,부산,submitted
R00112,U0192,P011,청소,2026-04-30 19:10:00,서울,submitted
R00113,U0193,P014,사진촬영,2026-04-06 13:10:00,경기,submitted
R00114,U0196,P016,운동,2026-02-07 12:10:00,경기,submitted
R00115,U0196,P075,과외,2026-02-04 19:10:00,경기,submitted
R00116,U0198,P053,인테리어,2026-01-21 09:10:00,경기,submitted
R00117,U0198,P040,운동,2026-03-12 15:10:00,경기,submitted
R00118,U0201,P011,청소,2026-03-11 18:10:00,서울,submitted
R00119,U0204,P020,사진촬영,2026-05-08 17:10:00,서울,submitted
R00120,U0206,P021,인테리어,2026-03-05 10:10:00,서울,submitted
R00121,U0206,P029,사진촬영,2026-02-23 08:10:00,서울,submitted
R00122,U0206,P061,과외,2026-01-31 20:10:00,서울,submitted
R00123,U0207,P059,청소,2026-05-18 19:10:00,대구,submitted
R00124,U0208,P014,사진촬영,2026-06-07 14:10:00,경기,submitted
R00125,U0212,P006,사진촬영,2026-04-27 13:10:00,서울,submitted
R00126,U0214,P005,이사,2026-03-19 08:10:00,서울,submitted
R00127,U0215,P068,이사,2026-03-29 12:10:00,경기,submitted
R00128,U0216,P058,이사,2026-03-27 20:10:00,경기,submitted
R00129,U0217,P004,인테리어,2026-03-06 19:10:00,경기,submitted
R00130,U0219,P044,이사,2026-02-22 13:10:00,서울,submitted
R00131,U0219,P073,과외,2026-03-19 14:10:00,서울,submitted
R00132,U0220,P013,청소,2026-04-28 10:10:00,경기,submitted
R00133,U0221,P023,운동,2026-03-27 17:10:00,서울,submitted
R00134,U0222,P048,인테리어,2026-03-05 09:10:00,경기,submitted
R00135,U0227,P074,청소,2026-05-06 11:10:00,경기,submitted
R00136,U0229,P010,인테리어,2026-04-14 16:10:00,경기,submitted
R00137,U0233,P028,이사,2026-02-23 19:10:00,경기,submitted
R00138,U0236,P028,운동,2026-05-23 22:10:00,서울,submitted
R00139,U0238,P053,운동,2026-02-21 12:10:00,서울,submitted
R00140,U0242,P037,과외,2026-02-26 09:10:00,경기,submitted
R00141,U0242,P051,사진촬영,2026-03-07 13:10:00,경기,submitted
R00142,U0244,P024,이사,2026-04-16 13:10:00,서울,submitted
R00143,U0245,P031,청소,2026-03-20 13:10:00,인천,submitted
R00144,U0246,P069,과외,2026-03-10 18:10:00,경기,submitted
R00145,U0248,P030,사진촬영,2026-03-06 22:10:00,경기,submitted
R00146,U0248,P007,청소,2026-03-11 13:10:00,경기,submitted
R00147,U0249,P010,과외,2026-04-26 12:10:00,서울,submitted
R00148,U0254,P051,사진촬영,2026-04-19 12:10:00,경기,submitted
R00149,U0256,P058,과외,2026-03-02 08:10:00,인천,submitted
R00150,U0257,P065,사진촬영,2026-04-12 22:10:00,서울,submitted
R00151,U0258,P047,사진촬영,2026-03-22 10:10:00,인천,submitted
R00152,U0260,P040,사진촬영,2026-03-08 16:10:00,서울,submitted
R00153,U0261,P078,이사,2026-04-07 14:10:00,서울,submitted
R00154,U0263,P005,사진촬영,2026-03-14 08:10:00,서울,submitted
R00155,U0265,P011,인테리어,2026-04-24 22:10:00,서울,submitted
R00156,U0272,P053,과외,2026-01-09 13:10:00,서울,submitted
R00157,U0273,P037,이사,2026-02-14 17:10:00,서울,submitted
R00158,U0273,P067,이사,2026-02-07 16:10:00,서울,submitted
R00159,U0275,P059,이사,2026-02-11 13:10:00,서울,submitted
R00160,U0277,P019,청소,2026-02-17 15:10:00,대구,submitted
R00161,U0278,P010,이사,2026-05-03 14:10:00,대구,submitted
R00162,U0279,P030,과외,2026-03-07 17:10:00,인천,submitted
R00163,U0283,P068,운동,2026-03-30 22:10:00,서울,submitted
R00164,U0283,P050,과외,2026-04-17 21:10:00,서울,submitted
R00165,U0292,P067,운동,2026-03-29 08:10:00,경기,submitted
R00166,U0292,P052,사진촬영,2026-04-14 16:10:00,경기,submitted
R00167,U0298,P068,사진촬영,2026-03-17 18:10:00,서울,submitted
R00168,U0300,P036,사진촬영,2026-01-16 10:10:00,경기,submitted
R00169,U0300,P006,운동,2026-02-03 12:10:00,경기,submitted
R00170,U0302,P073,청소,2026-04-22 12:10:00,서울,submitted
R00171,U0305,P045,청소,2026-04-22 12:10:00,서울,submitted
R00172,U0310,P070,사진촬영,2026-02-09 12:10:00,경기,submitted
R00173,U0315,P075,운동,2026-02-11 10:10:00,경기,submitted
R00174,U0317,P050,이사,2026-04-17 21:10:00,인천,submitted
R00175,U0319,P074,인테리어,2026-03-29 09:10:00,서울,submitted
R00176,U0319,P057,이사,2026-05-06 20:10:00,서울,submitted
R00177,U0321,P023,사진촬영,2026-03-23 10:10:00,서울,submitted
R00178,U0322,P026,운동,2026-03-12 21:10:00,부산,submitted
R00179,U0322,P001,운동,2026-01-18 14:10:00,부산,submitted
R00180,U0324,P024,과외,2026-05-08 19:10:00,인천,submitted
R00181,U0340,P041,운동,2026-05-16 22:10:00,서울,submitted
R00182,U0342,P013,사진촬영,2026-03-20 11:10:00,경기,submitted
R00183,U0343,P006,청소,2026-04-07 14:10:00,서울,submitted
R00184,U0344,P049,이사,2026-04-08 12:10:00,경기,submitted
R00185,U0349,P028,운동,2026-02-25 11:10:00,대구,submitted
R00186,U0350,P029,운동,2026-03-25 22:10:00,경기,submitted
R00187,U0351,P027,운동,2026-04-15 11:10:00,경기,submitted
R00188,U0353,P039,인테리어,2026-03-12 13:10:00,부산,submitted
R00189,U0355,P053,청소,2026-04-12 08:10:00,대구,submitted
R00190,U0359,P032,이사,2026-01-26 11:10:00,경기,submitted
R00191,U0359,P073,이사,2026-01-28 18:10:00,경기,submitted
R00192,U0359,P038,운동,2026-02-20 21:10:00,경기,submitted
R00193,U0361,P076,운동,2026-05-19 15:10:00,경기,submitted
R00194,U0361,P030,운동,2026-05-11 15:10:00,경기,submitted
R00195,U0361,P069,사진촬영,2026-04-29 15:10:00,경기,submitted
R00196,U0367,P049,과외,2026-03-09 10:10:00,경기,submitted
R00197,U0367,P027,사진촬영,2026-04-12 08:10:00,경기,submitted
R00198,U0369,P058,사진촬영,2026-02-14 08:10:00,서울,submitted
R00199,U0369,P004,과외,2026-02-07 18:10:00,서울,submitted
R00200,U0369,P040,과외,2026-03-22 16:10:00,서울,submitted
R00201,U0370,P040,청소,2026-05-27 22:10:00,서울,submitted
R00202,U0372,P077,인테리어,2026-03-09 19:10:00,경기,submitted
R00203,U0374,P008,인테리어,2026-02-13 17:10:00,경기,submitted
R00204,U0376,P027,청소,2026-01-31 14:10:00,서울,submitted
R00205,U0377,P014,운동,2026-04-17 11:10:00,인천,submitted
R00206,U0381,P043,과외,2026-02-20 17:10:00,대구,submitted
R00207,U0382,P024,과외,2026-05-06 18:10:00,인천,submitted
R00208,U0385,P056,인테리어,2026-02-22 14:10:00,서울,submitted
R00209,U0387,P079,청소,2026-01-23 09:10:00,경기,submitted
R00210,U0389,P053,청소,2026-05-14 09:10:00,인천,submitted
R00211,U0390,P051,사진촬영,2026-02-02 18:10:00,부산,submitted
R00212,U0394,P044,사진촬영,2026-04-17 08:10:00,서울,submitted
R00213,U0398,P021,운동,2026-02-19 08:10:00,경기,submitted
R00214,U0399,P060,사진촬영,2026-02-26 09:10:00,경기,submitted
R00215,U0404,P019,사진촬영,2026-06-05 22:10:00,서울,submitted
R00216,U0408,P045,과외,2026-03-20 17:10:00,서울,submitted
R00217,U0409,P018,운동,2026-05-03 08:10:00,경기,submitted
R00218,U0410,P028,사진촬영,2026-03-01 16:10:00,서울,submitted
R00219,U0414,P035,청소,2026-02-15 08:10:00,서울,submitted
R00220,U0414,P022,인테리어,2026-01-20 12:10:00,서울,submitted
R00221,U0417,P053,인테리어,2026-05-05 12:10:00,인천,submitted
R00222,U0417,P004,인테리어,2026-05-01 09:10:00,인천,submitted
R00223,U0420,P042,이사,2026-03-06 09:10:00,서울,submitted
R00224,U0422,P056,운동,2026-04-19 11:10:00,경기,submitted
R00225,U0426,P065,사진촬영,2026-02-01 14:10:00,서울,submitted
R00226,U0430,P005,과외,2026-04-09 08:10:00,서울,submitted
R00227,U0432,P047,운동,2026-04-28 18:10:00,서울,submitted
R00228,U0434,P056,인테리어,2026-03-02 22:10:00,경기,submitted
R00229,U0450,P018,과외,2026-02-12 19:10:00,서울,submitted
R00230,U0451,P039,운동,2026-05-22 21:10:00,서울,submitted
R00231,U0451,P069,운동,2026-05-11 10:10:00,서울,submitted
R00232,U0452,P003,인테리어,2026-05-02 15:10:00,서울,submitted
R00233,U0459,P032,운동,2026-05-20 18:10:00,경기,submitted
R00234,U0462,P009,사진촬영,2026-02-17 08:10:00,경기,submitted
R00235,U0476,P035,운동,2026-05-04 09:10:00,서울,submitted
R00236,U0478,P062,이사,2026-02-09 08:10:00,서울,submitted
R00237,U0480,P032,이사,2026-02-20 08:10:00,경기,submitted
R00238,U0484,P027,운동,2026-04-19 09:10:00,서울,submitted
R00239,U0485,P072,청소,2026-02-27 13:10:00,서울,submitted
R00240,U0487,P019,이사,2026-03-17 08:10:00,서울,submitted
R00241,U0488,P049,사진촬영,2026-04-30 22:10:00,서울,submitted
R00242,U0489,P046,청소,2026-05-04 10:10:00,서울,submitted
R00243,U0492,P079,사진촬영,2026-05-20 13:10:00,서울,submitted
R00244,U0493,P040,청소,2026-03-19 10:10:00,부산,submitted
R00245,U0494,P032,이사,2026-03-20 19:10:00,서울,submitted
