date,campaign_id,channel,country,creative_type,spend,impressions,clicks,installs,tutorial_completion_rate,d1_retention,d7_retention,arpu_d1,arpu_d7,d1_revenue,d7_revenue,d7_roas,ctr,cvr,cpi,model,actual_d7_roas,predicted_d7_roas,prediction_error,absolute_error
2026-02-25,C033,AppLovin,IN,playable,616.96,64875,1252,200,0.527722311922418,0.370173640261942,0.12983087423664977,0.026995641155926196,0.2863007688238482,5.399128231185239,57.26015376476964,0.09280974202929711,0.01929865125240848,0.1597444089456869,3.0848,Linear Regression,0.09280974202929711,0.05445606250650911,0.038353679522787995,0.038353679522787995
2026-02-26,C022,TikTok,BR,video,684.72,38510,1035,158,0.45492269357195825,0.3380095445646114,0.12588173145559656,0.005,0.28671083291960414,0.79,45.30031160129745,0.06615851757865787,0.026876136068553623,0.15265700483091788,4.333670886075949,Linear Regression,0.06615851757865787,0.02806225363421814,0.03809626394443973,0.03809626394443973
2026-02-22,C016,Google Ads,IN,static,1189.96,189467,2453,321,0.3679556384845583,0.21264293911697757,0.10354550064751002,0.005,0.22559525724639679,1.605,72.41607757609337,0.060855953950592394,0.012946845624831765,0.1308601712189156,3.7070404984423675,Linear Regression,0.060855953950592394,0.023199925892149396,0.037656028058442995,0.037656028058442995
2026-02-24,C027,Unity Ads,IN,playable,688.56,85626,1366,188,0.6572077314703146,0.39194543368124374,0.12787854771254714,0.03870122257377763,0.08032125623394835,7.275829843870194,15.100396171982291,0.02193045400875108,0.01595309835797538,0.1376281112737921,3.662553191489361,Linear Regression,0.02193045400875108,0.058988555620819144,-0.03705810161206806,0.03705810161206806
2026-01-15,C029,Unity Ads,BR,video,735.29,74890,1157,168,0.666761152020861,0.3440142885094042,0.12009206872550893,0.06304415256747233,0.11362067150312918,10.59141763133535,19.0882728125257,0.025960203221671897,0.015449325677660568,0.14520311149524634,4.37672619047619,Linear Regression,0.025960203221671897,0.061535205732882674,-0.035575002511210777,0.035575002511210777
2026-02-11,C010,Google Ads,BR,playable,885.69,84694,1423,230,0.6124169497665412,0.3736734300775723,0.199691766533744,0.06751511162637991,0.37434647720428305,15.52847567406738,86.0996897569851,0.09721235251159009,0.016801662455427774,0.16163035839775122,3.850826086956522,Linear Regression,0.09721235251159009,0.06168177694375895,0.035530575567831145,0.035530575567831145
2026-02-06,C027,Unity Ads,IN,playable,887.68,101438,2056,281,0.5821620944195345,0.2883434982072577,0.1430535426920983,0.06227016402164287,0.08690473304242186,17.497916090081645,24.420229984920542,0.027510188742423183,0.020268538417555552,0.13667315175097275,3.159003558718861,Linear Regression,0.027510188742423183,0.062485626731425783,-0.0349754379890026,0.0349754379890026
2026-02-17,C024,TikTok,IN,static,674.67,73633,1689,257,0.4125585726033067,0.2778023115950683,0.11038576261926894,0.013296270196690115,0.1631907650627203,3.4171414405493596,41.94002662111912,0.062163812595629524,0.022938084826096994,0.1521610420367081,2.6251750972762644,Linear Regression,0.062163812595629524,0.028741536318992754,0.03342227627663677,0.03342227627663677
2026-02-15,C033,AppLovin,IN,playable,866.57,90772,1869,295,0.6255947976715651,0.34414979985239447,0.11698810321197436,0.030512627053735322,0.08166344199852474,9.00122498085192,24.0907153895648,0.027799965476329864,0.020590049795090996,0.15783841626538256,2.9375254237288138,Linear Regression,0.027799965476329864,0.060916765313704345,-0.03311679983737448,0.03311679983737448
2026-02-05,C010,Google Ads,BR,playable,819.05,64427,1316,210,0.5925596535608281,0.37624237348942047,0.1381512677498453,0.07032412692728601,0.3615671157049388,14.768066654730063,75.92909429803716,0.09270335959712904,0.020426218821301627,0.1595744680851064,3.900238095238095,Linear Regression,0.09270335959712904,0.06018245290528595,0.03252090669184309,0.03252090669184309
